139	139	0.01406	782.30000	18	0	SAVE outlet
73	138	0.17964	1191.30000	14	139
138	137	0.01710	643.30000	18	139
60	136	0.17543	171.00000	13	73
61	135	0.17530	445.00000	14	73
84	134	0.16022	1585.30000	14	138
137	133	0.02370	1519.10000	18	138
63	132	0.22151	632.00000	13	84
66	131	0.21471	992.00000	13	84
117	130	0.04950	1111.00000	15	137
136	129	0.02339	171.00000	18	137
59	128	0.15847	353.40000	13	117
113	127	0.07581	672.70000	15	117
129	126	0.04179	1603.30000	17	136
135	125	0.03832	2479.10000	18	136
87	124	0.14744	1024.10000	14	113
92	123	0.18832	616.00000	14	129
106	122	0.07479	869.10000	14	113
108	121	0.10809	1471.00000	14	135
127	120	0.02826	1380.20000	16	129
134	119	0.06415	280.60000	18	135
42	118	0.16919	1430.40000	14	92
48	117	0.24247	1377.50000	13	127
49	116	0.23261	1539.10000	13	134
53	115	0.42587	82.20000	13	92
56	114	0.19549	358.10000	13	108
58	113	0.15925	3077.00000	14	106
65	112	0.20098	766.20000	13	87
74	111	0.17591	659.40000	14	87
94	110	0.11078	1074.20000	14	106
97	109	0.11375	1380.20000	14	108
124	108	0.05740	1306.60000	16	127
133	107	0.03872	155.00000	18	134
54	106	0.10951	27.40000	13	133
57	105	0.34575	569.80000	13	97
67	104	0.19638	835.10000	13	94
68	103	0.19656	66.10000	13	74
70	102	0.31582	522.40000	13	74
86	101	0.11476	784.20000	14	94
90	100	0.13275	572.50000	14	97
104	99	0.08175	1419.00000	14	124
123	98	0.06757	488.40000	15	124
132	97	0.04306	1161.10000	18	133
30	96	0.18073	3624.10000	14	132
46	95	0.19513	374.10000	13	123
50	94	0.24547	1291.40000	14	90
52	93	0.06032	182.40000	13	104
55	92	0.22489	1213.90000	14	90
69	91	0.19854	700.10000	13	86
79	90	0.13375	351.40000	14	86
103	89	0.00452	221.10000	8	104
121	88	0.10951	27.40000	15	123
131	87	0.07840	688.80000	18	132
41	86	0.19721	2525.30000	14	131
51	85	0.15580	686.80000	13	103
62	84	0.24193	132.30000	13	79
64	83	0.13368	643.30000	13	79
85	82	0.07659	143.60000	14	121
100	81	0.06263	479.00000	14	103
120	80	0.10390	308.00000	15	121
130	79	0.08436	367.50000	18	131
40	78	0.27907	917.30000	13	85
43	77	0.13722	714.20000	13	120
45	76	0.17956	529.10000	13	85
47	75	0.13924	1120.40000	13	100
98	74	0.07086	225.80000	14	100
112	73	0.10792	2946.70000	15	130
116	72	0.09346	1348.20000	15	120
128	71	0.12901	1286.70000	16	130
24	70	0.23319	1543.80000	14	128
35	69	0.22512	417.50000	13	116
44	68	0.24648	275.90000	13	98
76	67	0.19245	280.60000	14	112
89	66	0.12399	661.30000	14	98
109	65	0.14434	187.10000	15	112
114	64	0.07757	219.20000	15	116
126	63	0.07254	303.30000	16	128
26	62	0.16620	962.70000	13	109
28	61	0.28200	230.50000	13	126
31	60	0.18712	358.10000	13	114
32	59	0.19341	1246.10000	14	89
34	58	0.20939	257.90000	13	76
38	57	0.31587	668.00000	13	76
77	56	0.13354	606.60000	14	89
102	55	0.08859	1083.60000	14	109
110	54	0.09979	330.70000	14	114
125	53	0.15222	709.50000	16	126
18	52	0.14069	2821.90000	14	125
27	51	0.20296	1167.70000	13	110
37	50	0.19445	545.10000	13	77
39	49	0.16669	599.90000	13	77
82	48	0.14205	718.10000	14	102
99	47	0.10809	490.30000	14	102
107	46	0.08766	604.60000	14	110
122	45	0.07146	1035.50000	16	125
17	44	0.21384	280.60000	13	122
19	43	0.18751	1231.90000	13	99
21	42	0.17297	1404.90000	14	107
33	41	0.18211	851.10000	13	82
36	40	0.22923	593.30000	13	82
93	39	0.08012	474.30000	14	99
96	38	0.13135	1309.40000	14	107
119	37	0.04655	408.20000	16	122
16	36	0.16285	736.90000	13	96
25	35	0.22489	257.90000	13	93
78	34	0.12578	1129.00000	14	96
88	33	0.08554	374.10000	14	93
91	32	0.08360	1267.90000	14	119
118	31	0.05696	754.90000	15	119
6	30	0.17606	1414.30000	13	118
13	29	0.15629	620.60000	13	78
14	28	0.07744	38.70000	13	78
22	27	0.17532	456.30000	13	88
71	26	0.15501	412.90000	14	91
75	25	0.11263	825.70000	14	91
81	24	0.13527	340.10000	14	88
115	23	0.03361	714.20000	15	118
5	22	0.20662	237.10000	13	71
7	21	0.15830	221.10000	13	71
9	20	0.14380	577.20000	13	75
10	19	0.06048	66.10000	13	75
15	18	0.22930	545.10000	13	115
29	17	0.17841	745.50000	13	81
80	16	0.02138	93.50000	14	81
111	15	0.05263	342.00000	15	115
20	14	0.17534	467.70000	13	80
23	13	0.13529	798.30000	13	80
101	12	0.08454	839.80000	14	111
105	11	0.05108	841.80000	14	111
4	10	0.17960	779.50000	13	105
12	9	0.16711	143.60000	13	101
72	8	0.08112	1984.80000	14	101
95	7	0.05662	1324.70000	14	105
2	6	0.15159	369.40000	13	95
8	5	0.12096	396.80000	13	72
11	4	0.10856	479.00000	13	72
83	3	0.05234	859.70000	14	95
1	2	0.08047	969.30000	14	83
3	1	0.10222	303.30000	13	83
