segmentId,time,dimensionlessDischarge,overThreshold,threshold
1,6.000000,0.000000,0,450.162586
2,6.000000,0.000000,0,51.160831
3,6.000000,0.000000,0,381.152321
4,6.000000,0.049348,0,52.225016
5,6.000000,0.142996,0,52.258619
6,6.000000,0.047350,0,56.492945
7,6.000000,0.000000,0,288.785928
8,6.000000,0.000000,0,42.607805
9,6.000000,0.000101,0,43.789737
10,6.000000,0.000000,0,154.335258
11,6.000000,0.000000,0,292.037236
12,6.000000,0.000209,0,57.031906
13,6.000000,0.083173,0,107.326159
14,6.000000,0.000000,0,178.260347
15,6.000000,0.035795,0,191.906118
16,6.000000,0.000000,0,60.697337
17,6.000000,0.000000,0,49.104228
18,6.000000,0.065662,0,108.573805
19,6.000000,0.000000,0,79.254143
20,6.000000,0.000000,0,248.648946
21,6.000000,0.000000,0,123.753423
22,6.000000,0.000138,0,53.891057
23,6.000000,0.000000,0,39.344742
24,6.000000,0.072793,0,40.813500
25,6.000000,0.000000,0,23.495425
26,6.000000,0.000303,0,47.531385
27,6.000000,0.060824,0,56.790344
28,6.000000,1.113782,0,46.396326
29,6.000000,0.000000,0,52.101336
30,6.000000,0.052271,0,77.602311
31,6.000000,0.000000,0,75.862225
32,6.000000,0.000000,0,136.050582
33,6.000000,0.000000,0,190.218019
34,6.000000,0.000344,0,78.372864
35,6.000000,0.000000,0,28.582419
36,6.000000,0.000108,0,47.343457
37,6.000000,0.000000,0,47.305638
38,6.000000,0.000000,0,31.052056
39,6.000000,0.000000,0,75.289383
40,6.000000,0.000000,0,66.439213
41,6.000000,0.000123,0,100.633601
42,6.000000,0.011809,0,118.393540
43,6.000000,0.000000,0,173.776110
44,6.000000,0.000000,0,50.892688
45,6.000000,0.000000,0,47.607844
46,6.000000,0.000000,0,38.919038
47,6.000000,0.000000,0,130.419045
48,6.000000,0.000096,0,42.044462
49,6.000000,0.000801,0,46.893745
50,6.000000,0.001786,0,66.011718
51,6.000000,0.000669,0,1181.166341
52,6.000000,0.000000,0,78.372864
53,6.000000,0.000000,0,104.293003
54,6.000000,0.000000,0,47.169590
55,6.000000,0.012494,0,57.875533
56,6.000000,0.000000,0,39.422379
57,6.000000,0.094673,0,66.041452
58,6.000000,0.045807,0,106.392786
59,6.000000,0.110324,0,126.308648
60,6.000000,0.000000,0,81.983475
61,6.000000,0.000000,0,97.968849
62,6.000000,0.000000,0,34.718733
63,6.000000,0.000000,0,64.572746
64,6.000000,0.000000,0,51.180628
65,6.000000,0.062487,0,63.765433
66,6.000000,0.000000,0,113.689850
67,6.000000,0.000000,0,79.361079
68,6.000000,0.000000,0,89.757826
69,6.000000,0.276478,0,68.091890
70,6.000000,0.000000,0,40.724000
71,6.000000,0.047387,0,42.006685
72,6.000000,0.000000,0,38.777822
73,6.000000,0.000000,0,48.185216
74,6.000000,0.000000,0,70.453741
75,6.000000,0.000034,0,61.819628
76,6.000000,0.000114,0,105.244662
77,6.000000,0.000000,0,111.440239
78,6.000000,0.151209,0,54.729799
79,6.000000,0.000000,0,34.395239
80,6.000000,0.000000,0,49.378177
81,6.000000,0.000000,0,47.976722
82,6.000000,0.000036,0,44.762856
83,6.000000,0.000000,0,31.047587
84,6.000000,0.000206,0,66.101004
85,6.000000,0.000000,0,93.958648
86,6.000000,0.091398,0,84.865091
87,6.000000,0.030260,0,59.049141
88,6.000000,0.000046,0,63.199054
89,6.000000,0.000000,0,46.000685
90,6.000000,0.014162,0,47.752969
91,6.000000,0.046276,0,54.590463
92,6.000000,0.011716,0,62.677477
93,6.000000,0.000045,0,79.254143
94,6.000000,0.104389,0,94.809695
95,6.000000,0.030428,0,112.875211
96,6.000000,0.171267,0,43.945868
97,6.000000,0.044724,0,49.288793
98,6.000000,0.000000,0,52.868705
99,6.000000,0.000045,0,50.557409
100,6.000000,0.000000,0,41.343211
101,6.000000,0.000108,0,102.378880
102,6.000000,0.000079,0,67.047738
103,6.000000,0.000576,0,162.623289
104,6.000000,0.000280,0,55.702925
105,6.000000,0.046574,0,42.044462
106,6.000000,0.148567,0,69.591700
107,6.000000,0.192792,0,96.813401
108,6.000000,0.061460,0,98.728949
109,6.000000,0.000067,0,136.945331
110,6.000000,0.212808,0,52.062812
111,6.000000,0.017465,0,57.718733
112,6.000000,0.022725,0,105.395421
113,6.000000,0.066746,0,52.253446
114,6.000000,0.079760,0,58.130243
115,6.000000,0.040088,0,76.508499
116,6.000000,0.087438,0,65.373050
117,6.000000,0.079986,0,214.557635
118,6.000000,0.045679,0,45.287520
119,6.000000,0.033493,0,57.084843
120,6.000000,0.087363,0,62.019657
121,6.000000,0.087358,0,130.125002
122,6.000000,0.060102,0,41.332097
123,6.000000,0.087212,0,51.467003
124,6.000000,0.046403,0,315.223399
125,6.000000,0.072991,0,146.484550
126,6.000000,0.147044,0,52.248274
127,6.000000,0.046152,0,65.364735
128,6.000000,0.175515,0,97.790672
129,6.000000,0.030158,0,150.261160
130,6.000000,0.092449,0,51.170728
